Dato,Tid,Vindretning,Vindstyrke,Vindkast
2024-08-12,22:20,311,1.4,2.7
2024-08-12,22:30,73,1,1.5
2024-08-12,22:40,152,0.3,1.8
2024-08-12,22:50,192,1.2,2.1
2024-08-12,23:00,327,1.4,2.7
2024-08-12,23:10,330,0.7,1.8
2024-08-12,23:20,322,0.7,1.8
2024-08-12,23:30,320,0.9,1.8
2024-08-12,23:40,318,0.3,1.2
2024-08-12,23:50,89,1.2,2.1
2024-08-13,00:00,105,0.4,1.2
2024-08-13,00:10,105,0.8,1.5
2024-08-13,00:20,105,0.5,0.9
2024-08-13,00:30,105,0,0.6
2024-08-13,00:40,105,0.5,0.9
2024-08-13,00:50,105,0.5,0.9
2024-08-13,01:00,105,0.4,1.2
2024-08-13,01:10,105,0.6,1.8
2024-08-13,01:20,328,1.6,2.4
2024-08-13,01:30,360,1.3,2.1
2024-08-13,01:40,143,1.4,2.7
2024-08-13,01:50,162,1.2,1.8
2024-08-13,02:00,162,1,1.5
2024-08-13,02:10,162,1.1,2.1
2024-08-13,02:20,162,0.6,1.5
2024-08-13,02:30,162,0.6,0.9
2024-08-13,02:40,162,0.8,1.5
2024-08-13,02:50,162,0.2,1.2
2024-08-13,03:00,162,0.8,1.5
2024-08-13,03:10,162,0.9,1.5
2024-08-13,03:20,162,0.2,0.9
2024-08-13,03:30,162,0.6,1.2
2024-08-13,03:40,162,0.2,0.6
2024-08-13,03:50,162,0.5,1.2
2024-08-13,04:00,162,0.9,1.5
2024-08-13,04:10,162,0.5,1.2
2024-08-13,04:20,162,0.2,0.9
2024-08-13,04:30,162,0.2,1.2
2024-08-13,04:40,163,1,1.8
2024-08-13,04:50,156,1,1.8
2024-08-13,05:00,152,0.7,1.2
2024-08-13,05:10,171,0.8,1.8
2024-08-13,05:20,323,2.2,4.8
2024-08-13,05:30,140,1,2.4
2024-08-13,05:40,223,0.9,1.8
2024-08-13,05:50,224,0.2,0.9
2024-08-13,06:00,214,0.7,1.5
2024-08-13,06:10,240,1.2,1.8
2024-08-13,06:20,293,0.8,1.8
2024-08-13,06:30,292,1.4,2.4
2024-08-13,06:40,308,1.3,3
2024-08-13,06:50,320,1.2,2.7
2024-08-13,07:00,301,0.8,2.4
2024-08-13,07:10,306,1.1,2.7
2024-08-13,07:20,318,0.5,1.5
2024-08-13,07:30,318,0.5,1.2
2024-08-13,07:40,318,0.2,0.9
2024-08-13,07:50,318,0.4,1.2
2024-08-13,08:00,4,0.6,1.8
2024-08-13,08:10,95,0.4,1.2
2024-08-13,08:20,95,0.3,0.9
2024-08-13,08:30,94,0.8,2.1
2024-08-13,08:40,326,2.4,3.9
2024-08-13,08:50,282,2.2,3.6
2024-08-13,09:00,308,0.5,1.2
2024-08-13,09:10,312,0.3,0.9
2024-08-13,09:20,313,0.8,1.5
2024-08-13,09:30,88,1,1.8
2024-08-13,09:40,103,1.1,1.8
2024-08-13,09:50,110,0.5,1.2
2024-08-13,10:00,45,0.9,1.8
2024-08-13,10:10,356,1,2.1
2024-08-13,10:20,307,0.8,1.5
2024-08-13,10:30,293,0.6,1.8
2024-08-13,10:40,293,0.6,1.5
2024-08-13,10:50,103,0.8,2.4
2024-08-13,11:00,108,1,2.4
2024-08-13,11:10,279,1.9,4.8
2024-08-13,11:20,312,2.2,3.9
2024-08-13,11:30,17,1.3,2.7
2024-08-13,11:40,54,0.5,1.8
2024-08-13,11:50,138,2,3.3
2024-08-13,12:00,123,2.7,4.2
2024-08-13,12:10,150,2.2,3
2024-08-13,12:20,165,2.2,3.6
2024-08-13,12:30,132,1.3,2.7
2024-08-13,12:40,127,1.3,2.1
2024-08-13,12:50,126,2.6,4.8
2024-08-13,13:00,136,3.6,5.4
2024-08-13,13:10,146,4.6,6.3
2024-08-13,13:20,164,3.9,5.4
2024-08-13,13:30,170,3.7,5.4
2024-08-13,13:40,158,4.8,6.9
2024-08-13,13:50,153,5.1,7.5
2024-08-13,14:00,154,4.6,8.1
2024-08-13,14:10,152,5.1,10.2
2024-08-13,14:20,148,4,9.9
2024-08-13,14:30,138,5.2,9
2024-08-13,14:40,147,4.2,7.8
2024-08-13,14:50,151,4.5,7.2
2024-08-13,15:00,146,4,6.6
2024-08-13,15:10,144,4,6.6
2024-08-13,15:20,138,3.7,6.6
2024-08-13,15:30,138,3.4,6.6
2024-08-13,15:40,146,4.4,7.8
2024-08-13,15:50,150,2.8,4.8
2024-08-13,16:00,153,2.6,4.2
2024-08-13,16:10,151,1.6,3.6
2024-08-13,16:20,160,1.6,3
2024-08-13,16:30,155,1.2,1.8
2024-08-13,16:40,144,1,1.8
2024-08-13,16:50,139,1.2,2.4
2024-08-13,17:00,138,1.3,2.7
2024-08-13,17:10,289,2.3,3.9
2024-08-13,17:20,318,3.5,5.1
2024-08-13,17:30,305,3.3,6.3
2024-08-13,17:40,259,1.9,3.9
2024-08-13,17:50,98,1.2,2.4
2024-08-13,18:00,119,2.9,5.4
2024-08-13,18:10,125,2.8,4.8
2024-08-13,18:20,122,2.5,3.9
2024-08-13,18:30,124,2.6,4.2
2024-08-13,18:40,118,2.9,5.1
2024-08-13,18:50,117,3.4,4.8
2024-08-13,19:00,122,3.4,4.8
2024-08-13,19:10,132,3.3,6
2024-08-13,19:20,155,2.5,4.2
2024-08-13,19:30,139,2,3
2024-08-13,19:40,141,2.5,3.6
2024-08-13,19:50,153,2.4,3
2024-08-13,20:00,135,2.5,3.3
2024-08-13,20:10,138,2.1,2.7
2024-08-13,20:20,158,2,2.7
2024-08-13,20:40,120,1.9,2.7
2024-08-13,20:50,120,1.6,2.1
2024-08-13,21:00,122,1.8,2.4
2024-08-13,21:10,123,2.4,3
2024-08-13,21:20,153,1.9,2.7
2024-08-13,21:30,167,2,2.7
2024-08-13,21:40,154,1.3,1.8
2024-08-13,21:50,123,1.6,2.4
2024-08-13,22:00,105,1.9,3.6
2024-08-13,22:10,120,2.2,3.3
2024-08-13,22:20,124,1.6,2.7
2024-08-13,22:30,117,0.9,1.8
2024-08-13,22:40,134,2.1,3.9
2024-08-13,22:50,116,2.5,3.9
2024-08-13,23:00,126,2.4,3.6
2024-08-13,23:10,119,2.9,4.2
2024-08-13,23:20,129,3,4.5
2024-08-13,23:30,138,2.5,4.2
2024-08-13,23:40,116,1.6,2.4
2024-08-13,23:50,124,1.3,2.1
2024-08-14,00:00,118,1.3,2.1
2024-08-14,00:10,112,1.9,2.7
2024-08-14,00:20,121,1.9,2.7
2024-08-14,00:30,133,2,3.3
2024-08-14,00:40,127,2.1,3.3
2024-08-14,00:50,133,1.8,3.3
2024-08-14,01:00,132,2.6,3.9
2024-08-14,01:10,125,3,4.8
2024-08-14,01:20,130,2.6,4.2
2024-08-14,01:30,136,2,3.6
2024-08-14,01:40,152,3.1,7.8
2024-08-14,01:50,156,2.7,6.9
2024-08-14,02:00,132,3,5.4
2024-08-14,02:10,125,3.4,6
2024-08-14,02:20,118,2.9,4.8
2024-08-14,02:30,118,3.4,5.4
2024-08-14,02:40,126,2.9,4.8
2024-08-14,02:50,137,2.5,4.5
2024-08-14,03:00,145,3.2,6.6
2024-08-14,03:10,150,2.7,5.1
2024-08-14,03:20,152,2.7,6.3
2024-08-14,03:30,147,3.7,6.9
2024-08-14,03:40,135,3.6,6.3
2024-08-14,03:50,135,4,7.5
2024-08-14,04:00,139,3.4,6.6
2024-08-14,04:10,148,4.3,7.2
2024-08-14,04:20,147,4.6,8.4
2024-08-14,04:30,147,5.6,11.3
2024-08-14,04:40,158,5.2,9.3
2024-08-14,04:50,154,5.7,9.6
2024-08-14,05:00,157,4.5,8.1
2024-08-14,05:10,163,6.2,10.2
2024-08-14,05:20,193,4.9,10.7
2024-08-14,05:30,173,4.8,9.9
2024-08-14,05:40,177,4.3,9.6
2024-08-14,05:50,168,4.8,9.6
2024-08-14,06:00,166,4.2,7.5
2024-08-14,06:10,184,2.8,5.4
2024-08-14,06:20,191,3.7,8.1
2024-08-14,06:30,180,3.3,8.4
2024-08-14,06:40,168,3.8,7.5
2024-08-14,06:50,163,2.8,8.4
2024-08-14,07:00,193,2.2,7.5
2024-08-14,07:10,187,2.1,5.1
2024-08-14,07:20,158,2.5,4.5
2024-08-14,07:30,157,2.2,3.9
2024-08-14,07:40,130,1.9,2.7
2024-08-14,07:50,128,1.5,3
2024-08-14,08:00,224,2.1,5.4
2024-08-14,08:10,233,2.7,5.4
2024-08-14,08:20,225,1.6,3.9
2024-08-14,08:30,216,0.8,2.1
2024-08-14,08:40,153,1.4,3
2024-08-14,08:50,178,0.8,1.8
2024-08-14,09:00,200,0.8,2.4
2024-08-14,09:10,161,1.3,3.3
2024-08-14,09:20,133,1.8,2.7
2024-08-14,09:30,145,2.6,3.6
2024-08-14,09:40,147,1.6,3
2024-08-14,09:50,150,1.1,1.8
2024-08-14,10:00,133,1.5,3
2024-08-14,10:10,151,2.5,4.2
2024-08-14,10:20,169,2,4.2
2024-08-14,10:30,183,2.2,4.8
2024-08-14,10:40,160,2,4.2
2024-08-14,10:50,134,2.3,3.9
2024-08-14,11:00,132,2.9,4.2
2024-08-14,11:10,137,2.7,3.9
2024-08-14,11:20,150,2.4,3.3
2024-08-14,11:30,154,2.7,3.9
2024-08-14,11:40,145,2,3.3
2024-08-14,11:50,134,1.4,2.4
2024-08-14,12:00,148,1.7,2.4
2024-08-14,12:10,183,1.2,2.4
2024-08-14,12:20,176,1.3,1.8
2024-08-14,12:30,168,1.1,1.8
2024-08-14,12:40,160,1.3,2.4
2024-08-14,12:50,150,1.5,2.4
2024-08-14,13:00,150,1,1.8
2024-08-14,13:10,150,0.8,1.5
2024-08-14,13:20,144,1.2,2.7
2024-08-14,13:30,121,1.6,2.4
2024-08-14,13:40,130,1.7,2.7
2024-08-14,13:50,153,2.1,3
2024-08-14,14:00,147,1.9,2.7
2024-08-14,14:10,126,1.5,2.4
2024-08-14,14:20,131,1.3,2.4
2024-08-14,14:30,160,1.6,2.7
2024-08-14,14:40,143,1.6,3
2024-08-14,14:50,148,0.9,2.4
2024-08-14,15:00,163,0.9,1.8
2024-08-14,15:10,156,1.8,3.3
2024-08-14,15:20,159,1.9,3
2024-08-14,15:30,162,1.6,2.4
2024-08-14,15:40,160,1,1.8
2024-08-14,15:50,163,1.1,2.1
2024-08-14,16:00,163,0.9,1.8
2024-08-14,16:10,147,1.5,2.4
2024-08-14,16:20,140,1.9,2.7
2024-08-14,16:30,156,1.5,2.4
2024-08-14,16:40,170,1.3,1.8
2024-08-14,16:50,171,1.2,1.8
2024-08-14,17:00,170,0.4,1.5
2024-08-14,17:10,312,1.9,3
2024-08-14,17:20,302,2,3.3
2024-08-14,17:30,318,2.1,3.6
2024-08-14,17:40,324,2.2,3
2024-08-14,17:50,321,1.6,2.7
2024-08-14,18:00,341,1.6,2.1
2024-08-14,18:10,343,1.3,1.8
2024-08-14,18:20,334,1.3,1.8
2024-08-14,18:30,321,1.1,1.8
2024-08-14,18:40,321,1,1.8
2024-08-14,18:50,324,0.7,1.5
2024-08-14,19:00,324,0.6,1.2
2024-08-14,19:10,324,0.8,1.2
2024-08-14,19:20,321,0.8,1.8
2024-08-14,19:30,320,0.6,1.5
2024-08-14,19:40,320,0.2,0.9
2024-08-14,19:50,320,0.5,1.2
2024-08-14,20:00,320,1,1.5
2024-08-14,20:10,320,1,1.5
2024-08-14,20:20,320,0.2,0.9
2024-08-14,20:30,320,0,0
2024-08-14,20:40,320,0,0
2024-08-14,20:50,320,0,0
2024-08-14,21:00,320,0,0
2024-08-14,21:10,320,0,0.6
2024-08-14,21:20,320,0.4,0.9
2024-08-14,21:30,320,0.2,0.9
2024-08-14,21:40,320,0,0
2024-08-14,21:50,320,0,0
2024-08-14,22:00,320,0,0
2024-08-14,22:10,320,0,0
2024-08-14,22:20,333,0.7,1.8
2024-08-14,22:30,93,1,1.8
2024-08-14,22:40,98,0.9,2.1
2024-08-14,22:50,136,1.3,2.1
2024-08-14,23:00,144,0.9,1.8
2024-08-14,23:10,145,1,1.8
2024-08-14,23:20,146,0.8,1.8
2024-08-14,23:30,156,1,2.4
2024-08-14,23:40,157,1.1,2.1
2024-08-14,23:50,154,1.1,2.1
2024-08-15,00:00,154,0.8,1.5
2024-08-15,00:10,154,0.9,1.8
2024-08-15,00:20,153,1.3,2.7
2024-08-15,00:30,127,2.4,3.6
2024-08-15,00:40,129,2.2,3.3
2024-08-15,00:50,150,1.9,3
2024-08-15,01:00,159,1.9,2.7
2024-08-15,01:10,144,1.3,2.4
2024-08-15,01:20,160,1.8,3
2024-08-15,01:30,158,2.1,3.6
2024-08-15,01:40,155,2.3,3.9
2024-08-15,01:50,155,2.1,3.9
2024-08-15,02:00,154,2.2,3.3
